序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、1950年世界上人口最多的城市是	2、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	3、哥伦比亚大学位于哪个城市	4、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	5、哈佛大学位于哪个城市	6、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	7、右图是哪个美国漫画中的超级英雄的标志	8、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	9、右图是哪个美国漫画中的超级英雄的标志	10、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	11、福尔摩斯的助手叫什么	12、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	13、蝙蝠侠的助手叫什么	14、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	15、右图是哪个国家的国旗	"16、你认为其他人可能回答的答案是（如果有多个请用逗号隔开）"	17、澳大利亚的首都是哪个城市	18、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	19、著名音乐家肖邦是哪国人	20、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	21、1984年夏季奥运会在哪个城市举办	22、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	23、世界七大奇迹之一的亚历山大灯塔位于哪个国家	24、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	25、世界七大奇迹之一的空中花园位于哪个国家	26、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）
94	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,London,巴黎	NewYork	NewYork	Washington	Harvard	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	Latvia	Latvia	Canberra	Sydney	Poland	Austria	Athens	US	Egypt	Egypt	Babylon	Babylon
95	N/A	N/A	N/A	N/A	N/A	China	印度	US	英国	US	US	超人	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	忘记了	忘记了	Austria	瑞士	澳大利亚	澳大利亚	Germany	US	US	英国	UK	葡萄牙	UK	US
96	N/A	N/A	N/A	N/A	N/A	China	China	US	US	不知道	不知道	Hulk	Hulk	CaptainAmerica	CaptainAmerica	花生	花生	不知道	不知道	俄罗斯	US	哥伦比亚	不知道	UK	US	不知道	不知道	UK	UK	US	UK
97	N/A	N/A	N/A	N/A	N/A	Peking	Peking	NewYork	不知道	Cambridge	录一个	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	Tokyo	不知道	不知道	不知道	不知道	不知道
98	N/A	N/A	N/A	N/A	N/A	Tokyo	不知道	NewYork	不知道	Massachusetts	佛罗里达州	美国队长	航天员	CaptainAmerica	不知道	刘壮	不知道	多起	不知道	华盛顿	不知道	Canberra	Sydney	Poland	不知名	NewYork	Athens	Egypt	不知道	US	不知道
99	N/A	N/A	N/A	N/A	N/A	NewYork	Peking,日本	NewYork	Washington,芝加哥	Washington	Washington,多伦多	GreenLantern	不知道	CaptainAmerica	CaptainAmerica	Watson	不知道	Robin	Robin	不知道	不知道	Canberra	Canberra	Poland	荷兰,意大利	LosAngeles	LosAngeles	Egypt	印度,Egypt	Babylon	不知道
100	N/A	N/A	N/A	N/A	N/A	Peking	Peking,Shanghai,广州	London	London	NewYork	哈弗	Hulk	Hulk	蜘蛛侠	蜘蛛侠	华西	华西,华安	不知道	不知道	哈萨克斯坦	哈萨克斯坦	Canberra	Canberra,马来西亚	France	France	Tokyo	Tokyo	UK	UK	意大利	意大利,德国,France,UK
101	N/A	N/A	N/A	N/A	N/A	Tokyo	NewYork	巴黎	NewYork	Boston	Boston	Batman	钢铁侠	CaptainAmerica	CaptainAmerica	柯南	柯南	刘莹	刘莹	荷兰	澳大利亚	金谷	金谷	Germany	Germany	LosAngeles	LosAngeles	France	France	US	US
102	N/A	N/A	N/A	N/A	N/A	Peking	北平	不知道	不知道	伦敦	不知道	Hulk	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	不知道	不知道	Canberra	Canberra	Poland	Poland	中国北京	不知道	不知道	不知道	不知道	不知道
103	N/A	N/A	N/A	N/A	N/A	不知道	China	英国	US,英国,加拿大	不知	不知	Hulk	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	UK	US	美国	英国,法国,美国,韩国	UK	US,UK,France	不知	不知	UK	不知道	France	UK,France,德国
104	N/A	N/A	N/A	N/A	N/A	NewYork	不知	不知	不知	法国波兰	法国	不知	不知	不知	不知	不知	不知	不知	不知	不知	不知	不知	不知	不知	不知	NewYork	NewYork	不知	不知	不知	不知
105	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork	剑桥	剑桥	US	不知道	钢铁侠	钢铁侠	CaptainAmerica	CaptainAmerica	华生医生	华生医生	战车	战车	波兰	波兰	Canberra	Canberra	US	US	US	不知道	France	France	印度	印度
106	N/A	N/A	N/A	N/A	N/A	Shanghai	广东,Peking	北京	不知道	不知道	不知道	Arrow	不知道	CaptainAmerica	不知道	不知道	不知道	不知道	不知道	雅典	不知道	不知道	不知道	France	德哥	不知道	不知道	不知道	不知道	雅典	不知道
107	N/A	N/A	N/A	N/A	N/A	不知道	不知道	NewYork	NewYork,不知道	Cambridge	NewYork	不知道	不知道	复仇者联盟	复仇者联盟	不知道	不知道	不知道	不知道	不知道	不知道	Sydney	Sydney	Poland	Poland	LosAngeles	韩国	不知道	不知道	Babylon	不知道
108	N/A	N/A	N/A	N/A	N/A	Tokyo	找哦	NewYork	Washington	NewYork	洛杉矶	Hulk	GreenLantern	CaptainAmerica	雷神	Watson	花生	Alfred	宁	拉脱维亚国旗	赞比亚	Canberra	哈哈	Poland	US	US	英国	Egypt	古印度	古巴比伦王国	印度
109	N/A	N/A	N/A	N/A	N/A	Shanghai	Peking	墨西哥湾	孟加拉湾	Washington	NewYork	灭霸	美国队长	CaptainAmerica	无	不知道	无	不知道	无	加拿大	UK	澳洲	不知道	UK	US	Athens	不知道	Alexandria	无	UK	US
110	N/A	N/A	N/A	N/A	N/A	不知道	Peking	芝加哥	US	NewYork	NewYork	不知道	钢铁侠	不知道	超人	Watson	Watson	不知道	不知道	不知道	不知道	不知道	不知道	UK	UK	不知道	不知道	奥地利	不知道	印度	不知道
111	N/A	N/A	N/A	N/A	N/A	Peking	印度	London	不知道	Cambridge	Cambridge	不知道	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	不知道	不知道	Canberra	Canberra	France	意大利,UK	不知道	不知道	不知道	不知道	France	不知道
112	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork	NewYork	Columbia,NewYork	Washington	旧金山	不知道	不知道	不知道	不知道	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Sydney,Canberra	不知道	不知道	LosAngeles	华盛顿	不知道	不知道	迪拜	迪拜
113	N/A	N/A	N/A	N/A	N/A	Shanghai	Shanghai,重庆,NewYork,London	NewYork	Washington	伦敦	1	Hulk	钢铁侠	CaptainAmerica	CaptainAmerica	Watson	可能不知道	我不知道	别人应该不知道	朝鲜	印度	Canberra	Sydney	Germany	奥匈帝国	London	1	Greece	Egypt	Iraq	Iran
114	N/A	N/A	N/A	N/A	N/A	Peking	1	London	1	某	,	GreenLantern	1	CaptainAmerica	1	Watson	1	神奇小子	1	印尼	1	民生	1	意大利	1	你一个人	,	UK	1	行	1
115	N/A	N/A	N/A	N/A	N/A	工资	名字	某	,	呵呵呵	回电话回电话	工资	,	CaptainAmerica	,	福尔摩斯助手	,	蝙蝠侠助手	,	拿国	,	首都	,	星湖	,	回电话	回电话	麻辣烫	,	你具体	,
116	N/A	N/A	N/A	N/A	N/A	别的号	九点后	你喜欢	别的号	Cambridge	不知道	回电话	好好的	夜视仪	九点后	回电话	回电话	回电话	呵呵	呵呵	呵呵	回电话	好生活	九点后	回电话	加州	不知道	厚度	回电话	回电话	合格干
117	N/A	N/A	N/A	N/A	N/A	墨西哥城	不知道	NewYork	Columbia	US	US	不知道	不知道	CaptainAmerica	CaptainAmerica	约翰·H·华生	不知道	Alfred	不知道	不知道	不知道	Canberra	Canberra	Poland	France	中国	中国	Egypt	UK	Babylon	不知道
118	N/A	N/A	N/A	N/A	N/A	China	China	Columbia	Columbia	Cambridge	NewYork	美国队长	美国队长	CaptainAmerica	CaptainAmerica	莫斯	莫斯	蜘蛛侠	蜘蛛侠	印度	印度	荷兰	荷兰	Germany	Germany	Tokyo	悉尼	US	US	不	不
119	N/A	N/A	N/A	N/A	N/A	Tokyo	US	NewYork	不知道	NewYork	不知道	GreenLantern	钢铁侠	CaptainAmerica	冬兵	刘宇	不知道	多起	汤姆克鲁斯	利比亚	不知道	Canberra	Sydney	Poland	France	Tokyo	不知道	Egypt	利比亚	日耳曼	波士顿
120	N/A	N/A	N/A	N/A	N/A	Tokyo	不清楚	芝加哥	不知道	旧金山	旧金山	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不清楚	不知道	荷兰	芬兰	Canberra	Melbourne	Germany	差不多	加州	不知	UK	差不多	瑞士	不清楚
121	N/A	N/A	N/A	N/A	N/A	China	US	US	US	NewYork	Washington	超人	超人	CaptainAmerica	CaptainAmerica	波特	波特	不知道	不知道了	不知	不知	Canberra	不知	Poland	不知	NewYork	上海,NewYork	Egypt	不知	Iraq	不知
122	N/A	N/A	N/A	N/A	N/A	河南	洛杉矶	加州	洛杉矶,Washington,NewYork	US	US	蜘蛛侠	Batman	CaptainAmerica	CaptainAmerica,Ironman	福尔摩斯小助手	福尔摩斯小助手	蝙蝠侠	蝙蝠侠	法国	Italy	新德里	澳洲	UK	US,France	上海	Peking	日本	日本,US	古埃及	古埃及,印度
123	N/A	N/A	N/A	N/A	N/A	印度	China	US	英国	Cambridge	Cambridge	2	1	1	1	教授	教授	教授	教授	UK	UK	纽约	华盛顿	UK	Germany	LosAngeles	LosAngeles	UK	UK	德国	德国
124	N/A	N/A	N/A	N/A	N/A	China	China	纽约市	纽约市	Washington	NewYork,洛杉矶	dc宇宙	dc宇宙	漫威宇宙	漫威宇宙	约翰.h.华生	约翰.h .华生	莱德赛斯	莱德赛斯	拉脱维亚共和国	拉脱维亚共和国	Canberra	Canberra	Poland	Poland,France,Germany	LosAngeles	华盛顿	Egypt	Egypt	罗马	罗马
125	N/A	N/A	N/A	N/A	N/A	Shanghai	Peking	NewYork	Washington	Boston	Boston	Hulk	不知道	CaptainAmerica	CaptainAmerica,Ironman	Watson	不知道	不知道	不知道	朝鲜	不知道	Canberra	Sydney	Germany	不知道	LosAngeles	LosAngeles	不知道	不知道	Iraq	不知道
126	N/A	N/A	N/A	N/A	N/A	Tokyo	Tokyo,London	NewYork	NewYork	Cambridge	US	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra,澳大利亚	Poland	Poland	LosAngeles	LosAngeles	古埃及	Egypt	Babylon	Babylon
127	N/A	N/A	N/A	N/A	N/A	不知道	China	纽约州	NewYork	NewYork	伦敦	不知道	不知道	CaptainAmerica	CaptainAmerica	约翰华生	不知道	罗宾和蝙蝠女	Robin	不知道	不知道	Canberra	Canberra	Poland	Poland	不知道	不知道	Egypt	Egypt	Iraq	Iraq
128	N/A	N/A	N/A	N/A	N/A	Peking	印度	不知道	不知道	Boston	NewYork	不知道	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	不知道	不知道	Canberra	Canberra	意大利	France	LosAngeles	Athens	不知道	不知道	不知道	不知道
129	N/A	N/A	N/A	N/A	N/A	NewYork	Tokyo	NewYork	新泽西,Columbia	Cambridge	Cambridge	GreenLantern	闪电侠	CaptainAmerica	CaptainAmerica	Watson	夏洛克	不知道	不知道	不知道	芬兰	Canberra	Melbourne,Sydney	Poland	Austria	LosAngeles	LosAngeles	Egypt	Greece	Iraq	Iran
130	N/A	N/A	N/A	N/A	N/A	广州	广州	哈曼顿	哈曼顿	Boston	Boston	Hulk	Hulk	CaptainAmerica	CaptainAmerica	华生大夫	华生大夫	罗宾汉	罗宾汉	叙利亚	叙利亚	Canberra	Canberra	Poland	Poland	不知道	不知道	Iraq	Iraq	埃及	埃及
131	N/A	N/A	N/A	N/A	N/A	NewYork	不知道	NewYork	NewYork	Cambridge	Cambridge,Boston	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	古巴	不知道	Canberra	Canberra	Germany	Germany	巴黎	巴黎,LosAngeles,Athens	不知道	不知道	不知道	不知道
132	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,洛杉矶	NewYork	NewYork,波士顿	Cambridge	夏威夷	闪电侠	Hulk,闪电侠	CaptainAmerica	CaptainAmerica	Watson	Watson	猫女	猫女	不知道	不知道	Canberra	Canberra,Sydney,Melbourne	Germany	Germany,比利时	LosAngeles	NewYork	不知道	不知道	Greece	希腊
133	N/A	N/A	N/A	N/A	N/A	Tokyo	武汉,广州	NewYork	US	Cambridge	Cambridge	Hulk	Hulk	CaptainAmerica	美国超人	Watson	爱莫思	Robin	乔布斯	埃及	苏丹,马里	Canberra	Sydney,Melbourne	France	UK,US	LosAngeles	LosAngeles	Egypt	伦敦	Babylon	US,UK
134	N/A	N/A	N/A	N/A	N/A	Tokyo	Peking	NewYork	NewYork	Cambridge	Cambridge	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	雷德	Austria	加拿大	Canberra	Canberra	Poland	UK	LosAngeles	LosAngeles	Egypt	France	巴伦比亚	UK
135	N/A	N/A	N/A	N/A	N/A	Shanghai	Shanghai	哈曼顿	哈曼顿	US	不知道	Hulk	Hulk	CaptainAmerica	CaptainAmerica	华生大夫	华生大夫	罗宾汉	罗宾汉	伊拉克	伊拉克	Canberra	Canberra	Poland	Poland	不知道	不知道	Egypt	Egypt	Iraq	Iraq
136	N/A	N/A	N/A	N/A	N/A	不知道	不知道	US	不知道	Cambridge	唐山市	不知道	不知道	CaptainAmerica	不知道	不知道	不知道	不知道	不知道	法国	不知道	不知道	不知道	France	Germany	LosAngeles	NewYork,华盛顿	不知道	US	France	不知道
137	N/A	N/A	N/A	N/A	N/A	Tokyo	深圳,南京	NewYork	London	Cambridge	Cambridge	Hulk	绿头怪,Hulk,绿帽侠	CaptainAmerica	超级队长	Watson	Watson	Robin	乔布斯	马里	苏丹	Canberra	纽约	France	UK	美国洛杉矶	LosAngeles	Egypt	伦敦,印度	Babylon	France,墨西哥
138	N/A	N/A	N/A	N/A	N/A	China	China	美国纽约市	US	Boston	NewYork,Washington	绿灯军团	不清楚	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	Latvia	澳大利亚	Canberra	Canberra	Poland	Poland	汉城	汉城	Egypt	Egypt	Babylon	Babylon
139	N/A	N/A	N/A	N/A	N/A	Tokyo	Bombay	NewYork	Columbia,Manhattan	Cambridge	Cambridge	神奇博士	万磁王	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	丹麦	伊朗	Canberra	Canberra,Sydney,Melbourne	Poland	Austria,Poland,Germany	US	俄罗斯	Egypt	亚特兰蒂斯	Babylon	Babylon
140	N/A	N/A	N/A	N/A	N/A	汕头	Peking	NewYork	NewYork	Cambridge	Cambridge	不知道	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	不知道	不知道	不知道	不知道	UK	US	LosAngeles	LosAngeles	不知道	不知道	US	不知道
141	N/A	N/A	N/A	N/A	N/A	Tokyo	Tokyo	NewYork	NewYork	Cambridge	Cambridge	鬼知道	不知道	真不知道	……	Watson	Watson	Robin	Robin	不知道	不知道	Canberra	Canberra	Poland	Poland	LosAngeles	LosAngeles	Egypt	Egypt	Iraq	Iraq
142	N/A	N/A	N/A	N/A	N/A	China	China,US	Columbia	Columbia	Boston	法国	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	印度尼西亚	印度尼西亚	Melbourne	Melbourne,Sydney	Poland	Poland,France	LosAngeles	巴西	Egypt	Egypt	Babylon	Babylon
143	N/A	N/A	N/A	N/A	N/A	China	俄罗斯	美国纽约	Columbia	NewYork	NewYork	不知道	GreenLantern,Hulk	CaptainAmerica	不知道	Watson	不知道	Robin	蝙蝠侠的朋友	Austria	俄罗斯	Canberra	纽约	Poland	France	埃塞尔比亚	埃塞尔比亚	Egypt	泰国	孟买	US
144	N/A	N/A	N/A	N/A	N/A	印度	US,印度	埃塞尔比亚	埃塞尔比亚	Boston	Boston	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	Alfred	不知道	不知道	Sydney	Sydney	France	意大利	LosAngeles	LosAngeles	古巴比伦	古巴比伦	Babylon	Babylon
145	N/A	N/A	N/A	N/A	N/A	Tokyo	Tokyo	NewYork	NewYork	Boston	纽约市	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	土耳其	土耳其	Sydney	Sydney	UK	UK	LosAngeles	希腊	Egypt	Egypt	Iraq	Iraq
146	N/A	N/A	N/A	N/A	N/A	China	俄罗斯	NewYork	波士顿	Cambridge	Washington	Hulk	蚁人	漫威漫画	DC漫画	Watson	摩尼亚的教授	Robin	提姆·德雷克	Austria	Latvia	Canberra	Sydney	Poland	UK	LosAngeles	华盛顿	Egypt	古巴比伦	Babylon	埃及
147	N/A	N/A	N/A	N/A	N/A	NewYork	Tokyo,London	NewYork	London	Cambridge	Cambridge	GreenLantern	Hulk	CaptainAmerica	超级队长	Watson	夏洛克	Robin	尼沃斯	叙利亚	巴西	Canberra	Melbourne	France	UK	LosAngeles	LosAngeles	Egypt	印度	Babylon	US
148	N/A	N/A	N/A	N/A	N/A	印度	印度	Washington	Washington	Massachusetts	佛罗里达州	鹰眼	鹰眼	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	US	US	Canberra	Canberra	Poland	Poland	NewYork	不知道	Egypt	Egypt	Iraq	Iraq
149	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,华盛顿	NewYork	NewYork,芝加哥	Boston	Boston	GreenLantern	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	罗	不知道	不知道	Canberra	Canberra	Poland	荷兰,意大利	LosAngeles	LosAngeles	Egypt	印度,巴比伦	Babylon	不知道
150	N/A	N/A	N/A	N/A	N/A	London	London	NewYork	NewYork	Cambridge	NewYork	不知道	雷神	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	蜘蛛侠	不知道	摩洛哥	Canberra	Sydney,Canberra	Poland	Poland	LosAngeles	LosAngeles	Egypt	Egypt	不知道	秘鲁
151	N/A	N/A	N/A	N/A	N/A	墨西哥	埃及	NewYork	NewYork	Washington	加州	Arrow	Hulk	CaptainAmerica	CaptainAmerica	Watson	柯南	Robin	Robin	Austria	叙利亚	Canberra	罗马	Poland	UK	不知道	不知道	迪拜	迪拜	Babylon	Babylon
152	N/A	N/A	N/A	N/A	N/A	NewYork	London,NewYork,Peking	Columbia	Columbia	Cambridge	不知道	Hulk	Hulk	CaptainAmerica	CaptainAmerica	不知道	不知道	韦恩	不知道	不知道	不知道	渥太华	渥太华,Sydney	Germany	Denmark,Germany,UK	Tokyo	US	Greece	Greece	Babylon	Babylon
153	N/A	N/A	N/A	N/A	N/A	Tokyo	不知道	NewYork	悉尼	Massachusetts	US	GreenLantern	钢铁侠	CaptainAmerica	冬兵	汤姆克鲁斯	不止你	Robin	不知道	利比亚	悉尼	Canberra	不知道	Poland	France	LosAngeles	LosAngeles	Egypt	UK	利比亚	不知道
154	N/A	N/A	N/A	N/A	N/A	重庆	Peking	NewYork	洛杉矶	Cambridge	纽黑文	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	蜘蛛侠	蜘蛛侠	Austria	Austria	Canberra	康培拉	Poland	Poland	LosAngeles	LosAngeles	Egypt	Egypt	Iraq	Iraq
155	N/A	N/A	N/A	N/A	N/A	Tokyo	Peking	NewYork	Columbia	不知道	Cambridge	美国队长	钢铁侠	CaptainAmerica	CaptainAmerica	Watson	Watson	老铁	蝙蝠仔	马其顿	Italy	Melbourne	Sydney	Germany	US	日本	日本,US,英国	北京	北京	罗马	罗马
156	N/A	N/A	N/A	N/A	N/A	不知道	NewYork,London	芝加哥	芝加哥,NewYork	Cambridge	US	鹰眼	鹰眼,Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	瑞士,冰岛	Canberra	Sydney	France	France,Germany	加州	加州	US	US	US	US
157	N/A	N/A	N/A	N/A	N/A	China	China,印度	美国纽约	US	Boston	哈尔滨,Boston	银河维	银河	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	？	？	Canberra	Canberra	Poland	Poland	Atlanta	Atlanta	Egypt	Egypt	Babylon	Babylon
158	N/A	N/A	N/A	N/A	N/A	NewYork	Shanghai,NewYork	NewYork	Columbia,NewYork	伦敦	叙利亚	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica,中国队长	Watson	Watson,花生	鲁宾	Robin,鲁宾,鲁班	摩尔多瓦	摩尔多瓦	Canberra	Canberra,Sydney	Poland	Poland	LosAngeles	LosAngeles	Egypt	Egypt,马其顿	不知道	Babylon
159	N/A	N/A	N/A	N/A	N/A	China	US	多伦多	温哥华	Cambridge	NewYork	大力手水	奥特曼	佐罗	神龟	忘了	不确定	忘了	南孚	比利亚	印度	Canberra	Melbourne	Poland	芬兰	LosAngeles	NewYork	Egypt	印度	Iraq	叙利亚
160	N/A	N/A	N/A	N/A	N/A	China	印度,US,苏联	NewYork	Columbia	Cambridge	Cambridge,Washington	GreenLantern	不知道	CaptainAmerica	超人	Watson	John	Robin	芭芭拉	Austria	印度尼西亚	Canberra	Sydney	Poland	France	LosAngeles	LosAngeles	Egypt	US	Iraq	澳大利亚
161	N/A	N/A	N/A	N/A	N/A	China	US,China,俄罗斯	NewYork	NewYork,Washington	NewYork	堪培拉	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	印度尼西亚	印度尼西亚	Melbourne	Sydney,Melbourne	Poland	Poland	US	US	Egypt	Egypt	Babylon	Babylon
162	N/A	N/A	N/A	N/A	N/A	安徽	河北	Columbia	NewYork	进	您	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	化生	Alfred	Alfred	Austria	西班牙	Canberra	Canberra	Germany	荷兰	给我	回来了	Alexandria	US	Babylon	Babylon
163	N/A	N/A	N/A	N/A	N/A	一直	新	民	民	太痛苦	一应俱全	您	记录	里	就是	你	里	不知道	不知道	脊肉	好了吗	回来了	回来了	好了	好了	中破	农民起义	后	一	VS	户
164	N/A	N/A	N/A	N/A	N/A	急溜溜	踢腿	你想我了	麦吉丽	US	英国	嘻嘻追	提血色	叠加休息	迪诺婆婆	你需要啥在	你儿不	不知道	不知道	你女不敏	宁晋	咨询搜	您搜搜	抑郁症需要	嗯搜易	不知道	不知道	你女女人	毛孔	那女朋	你您去去
165	N/A	N/A	N/A	N/A	N/A	Peking	广东,Shanghai,贵州,云南	US	英国,德国	不知道	不知道	超人	超人	CaptainAmerica	CaptainAmerica	不知道	不知道	蜘蛛侠	蜘蛛侠	US	UK	伦敦	不知道	US	US,UK	不知道	不知道	不知道	不知道	UK	UK
166	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道	英国	US	不知道	不知道	不知道	不知道	不知道	不知道	教授	教授	不知道	不知道	不知道	不知道	不知道	不知道	英国	英国	不知道	不知道	不知道	不知道
167	N/A	N/A	N/A	N/A	N/A	China	印度	堪培拉	堪培拉	US	US	美国队长	美国队长	CaptainAmerica	CaptainAmerica	Watson	Watson	拉开	低的	US	US	澳大利亚	澳大利亚	US	US	中国	中国	US	US	中国	UK
168	N/A	N/A	N/A	N/A	N/A	China	China	Columbia	Columbia	US	US	美国队长	美国队长	CaptainAmerica	CaptainAmerica	摩丝	摩丝	Robin	Robin	印度	印度	英国	英国	Germany	Germany	上海	广州	中国	中国	US	US
169	N/A	N/A	N/A	N/A	N/A	印度	China	US	英国	伦敦	巴黎	2	1	1	1	眼镜	眼镜	福尔曼	10	UK	芬兰	纽约	华盛顿	UK	Germany	US	法国	澳大利亚	UK	UK	UK
170	N/A	N/A	N/A	N/A	N/A	China	印度	London	巴黎	Cambridge	洛杉矶,Cambridge	美国超人	钢铁侠	美国超人	绿巨人	阿拉斯加	色即是空	不知道	不知道	巴黎世家	UK	伦敦	巴黎	US	UK	LosAngeles	LosAngeles	中国	US	UK	俄罗斯
171	N/A	N/A	N/A	N/A	N/A	China	俄罗斯,China,US	NewYork	NewYork	NewYork	40	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	五千	五千	印度尼西亚	印度尼西亚,Italy	Melbourne	Melbourne,Sydney	Poland	Poland,UK	Atlanta	30	Egypt	Egypt	Babylon	意大利,Babylon
172	N/A	N/A	N/A	N/A	N/A	London	90	洛杉矶	30	Washington	NewYork	Batman	60	CaptainAmerica	80	Watson	90	不知道	不清楚	加拿大	20	Canberra	60	Austria	40	Atlanta	Athens	Egypt	20	Iraq	60
173	N/A	N/A	N/A	N/A	N/A	China	US	US	US	美国纽约	NewYork	钢铁侠	蜘蛛侠	CaptainAmerica	CaptainAmerica	不清晰	不知道	Robin	Robin	不认识	瑞典	渥太华	Sydney	France	Germany	Peking	Peking	不清楚	不知道	不知道	不知道
174	N/A	N/A	N/A	N/A	N/A	Peking	Shanghai,广东	London	US	NewYork	芝加哥	神奇女侠	蜘蛛侠	CaptainAmerica	CaptainAmerica	乔治	乔治	Robin	Robin	。	。	。	。。	。。	。。。	京东	不太清楚	中欧	中欧	俄罗斯	俄罗斯,UK
175	N/A	N/A	N/A	N/A	N/A	墨尔本	Tokyo	悉尼	NewYork	不知道	不知道	不知道啊	不知道啊	CaptainAmerica	CaptainAmerica	Watson	花生	Robin	Robin	新西兰	荷兰	Canberra	Melbourne	Germany	UK	雅典吗	不知道	瑞典？	France	不知道啊	也不知道
176	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道	Boston	NewYork	绿巨人吗	不知道	CaptainAmerica	CaptainAmerica	卷福	卷福	不知道	不知道	不知道	不知道	Canberra	Canberra	Poland	Poland	LosAngeles	LosAngeles	不知道	不知道	中国	不知道
177	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,法国	悉尼	London,悉尼	US	US	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	土耳其	土耳其	Sydney	Sydney	UK	France,俄罗斯	US	日本	新泽西	纽约	Iraq	Iraq
178	N/A	N/A	N/A	N/A	N/A	China	印度	US	加拿大	NewYork	NewYork	不知道	超人	CaptainAmerica	CaptainAmerica	小美	约翰华生	Alfred	Alfred	不知道	不知道	Canberra	Canberra	Poland	Poland	英国	US	Egypt	Egypt	US	中国
179	N/A	N/A	N/A	N/A	N/A	Peking	广州	不知道	NewYork	不知道	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不懂	不懂	不知道	不知道	Sydney	Sydney	France	UK	希腊	英国	荷兰	UK	Babylon	Babylon
180	N/A	N/A	N/A	N/A	N/A	Peking	重庆	不知道	不知道	Cambridge	Cambridge,NewYork	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	不知道	不知道	不知道	不知道	France	France	US	US	亚力山大	雅马	德国	France
181	N/A	N/A	N/A	N/A	N/A	印度	US,印度	Columbia	Columbia,埃塞俄比亚	US	都不会	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不清楚	不知道	刚果	刚果	Sydney	Sydney	Poland	Poland,France	不懂	不懂	古巴比伦	古巴比伦	Babylon	Babylon
